,AIRLINE_NAME,FLIGHT_CODE,DATE_OF_JOURNEY,SOURCE,DESTINATION,DEPARTURE_TIME,ARRIVAL_TIME,DURATION,TOTAL_STOP,PRICE
0,IndiGo,6E-6413,29/11/2021,Nagpur,Mumbai,05:35,07:05,1:30,Non Stop,4566
1,IndiGo,6E-6207,29/11/2021,Nagpur,Mumbai,15:30,17:00,1:30,Non Stop,4566
2,Air India,AI-630,29/11/2021,Nagpur,Mumbai,21:10,23:05,1:55,Non Stop,4566
3,Go First,G8-2607,29/11/2021,Nagpur,Mumbai,20:15,21:45,1:30,Non Stop,4567
4,Go First,G8-601,29/11/2021,Nagpur,Mumbai,10:50,12:25,1:35,Non Stop,4567
5,Go First,G8-141,29/11/2021,Nagpur,Mumbai,08:30,10:20,1:50,Non Stop,4567
6,IndiGo,6E-976,29/11/2021,Nagpur,Mumbai,20:30,22:00,1:30,Non Stop,4724
7,Air India,AI-628,29/11/2021,Nagpur,Mumbai,07:55,09:20,1:25,Non Stop,5511
8,IndiGo,6E-297,29/11/2021,Nagpur,Mumbai,10:35,12:05,1:30,Non Stop,5926
9,IndiGo,6E-7079/6605,29/11/2021,Nagpur,Mumbai,20:20,05:55,9:35,1 Stop,8724
10,IndiGo,6E-7109/957,29/11/2021,Nagpur,Mumbai,13:10,18:05,4:55,1 Stop,9239
11,IndiGo,6E-7074/399,29/11/2021,Nagpur,Mumbai,07:10,16:40,9:30,1 Stop,9606
12,IndiGo,6E-7109/543,29/11/2021,Nagpur,Mumbai,13:10,22:25,9:15,1 Stop,10394
13,IndiGo,6E-7137/5218,29/11/2021,Nagpur,Mumbai,15:45,23:25,7:40,1 Stop,11465
14,IndiGo,6E-7137/376,29/11/2021,Nagpur,Mumbai,15:45,20:45,5:00,1 Stop,11848
15,IndiGo,6E-7137/3193,29/11/2021,Nagpur,Mumbai,15:45,21:00,5:15,1 Stop,21314
16,Air India,AI-630,08/12/2021,Nagpur,Mumbai,21:10,23:05,1:55,Non Stop,4566
17,Go First,G8-141,08/12/2021,Nagpur,Mumbai,09:25,10:50,1:25,Non Stop,4567
18,Go First,G8-601,08/12/2021,Nagpur,Mumbai,10:50,12:25,1:35,Non Stop,4567
19,Go First,G8-2607,08/12/2021,Nagpur,Mumbai,21:00,22:40,1:40,Non Stop,4567
20,IndiGo,6E-6413,08/12/2021,Nagpur,Mumbai,05:35,07:05,1:30,Non Stop,4724
21,IndiGo,6E-976,08/12/2021,Nagpur,Mumbai,20:30,22:00,1:30,Non Stop,5196
22,Air India,AI-628,08/12/2021,Nagpur,Mumbai,07:55,09:20,1:25,Non Stop,5511
23,IndiGo,6E-6207,08/12/2021,Nagpur,Mumbai,15:30,17:00,1:30,Non Stop,5511
24,Go First,G8-2516/336,08/12/2021,Nagpur,Mumbai,07:00,16:35,9:35,1 Stop,7740
25,Go First,G8-2516/392,08/12/2021,Nagpur,Mumbai,07:00,17:15,10:15,1 Stop,7740
26,Go First,G8-2516/323,08/12/2021,Nagpur,Mumbai,07:00,20:25,13:25,1 Stop,7740
27,Go First,G8-2516/346,08/12/2021,Nagpur,Mumbai,07:00,21:55,14:55,1 Stop,7740
28,IndiGo,6E-7109/957,08/12/2021,Nagpur,Mumbai,13:10,18:05,4:55,1 Stop,8189
29,IndiGo,6E-7109/543,08/12/2021,Nagpur,Mumbai,13:10,22:25,9:15,1 Stop,8504
30,IndiGo,6E-7079/6605,08/12/2021,Nagpur,Mumbai,20:20,05:55,9:35,1 Stop,8546
31,IndiGo,6E-297,08/12/2021,Nagpur,Mumbai,10:35,12:05,1:30,Non Stop,9186
32,IndiGo,6E-7074/399,08/12/2021,Nagpur,Mumbai,07:10,16:40,9:30,1 Stop,9386
33,IndiGo,6E-7137/5211,08/12/2021,Nagpur,Mumbai,15:45,20:45,5:00,1 Stop,9706
34,IndiGo,6E-7137/5218,08/12/2021,Nagpur,Mumbai,15:45,23:25,7:40,1 Stop,9706
35,Air India,AI-470/531/638,08/12/2021,Nagpur,Mumbai,08:25,21:15,36:50,2 Stop(s),11741
36,Air India,AI-470/499/612,08/12/2021,Nagpur,Mumbai,08:25,15:50,31:25,2 Stop(s),11804
37,Air India,AI-470/868,08/12/2021,Nagpur,Mumbai,08:25,20:00,11:35,1 Stop,11916
38,Air India,AI-470/624,08/12/2021,Nagpur,Mumbai,08:25,21:15,12:50,1 Stop,11916
39,Air India,AI-470/441,08/12/2021,Nagpur,Mumbai,08:25,21:35,13:10,2 Stop(s),11916
40,Air India,AI-470/887,08/12/2021,Nagpur,Mumbai,08:25,09:05,24:40,1 Stop,11916
41,Air India,AI-470/665,08/12/2021,Nagpur,Mumbai,08:25,10:10,25:45,1 Stop,11916
42,Air India,AI-470/678,08/12/2021,Nagpur,Mumbai,08:25,11:15,26:50,1 Stop,11916
43,Air India,AI-470/411/626,08/12/2021,Nagpur,Mumbai,08:25,13:25,29:00,2 Stop(s),13064
44,Air India,AI-470/811/626,08/12/2021,Nagpur,Mumbai,08:25,13:25,29:00,2 Stop(s),13064
45,Air India,AI-470/636,08/12/2021,Nagpur,Mumbai,08:25,18:15,9:50,2 Stop(s),13176
46,Air India,AI-470/805,08/12/2021,Nagpur,Mumbai,08:25,22:10,13:45,1 Stop,13176
47,Air India,AI-470/451/651,08/12/2021,Nagpur,Mumbai,08:25,16:25,32:00,2 Stop(s),14334
48,Air India,AI-470/544/616,08/12/2021,Nagpur,Mumbai,08:25,09:40,25:15,2 Stop(s),15801
49,Air India,AI-470/544/698,08/12/2021,Nagpur,Mumbai,08:25,23:55,15:30,2 Stop(s),16116
50,Air India,AI-470/471/644,08/12/2021,Nagpur,Mumbai,08:25,17:50,9:25,2 Stop(s),16431
51,Air India,AI-470/839/616,08/12/2021,Nagpur,Mumbai,08:25,09:40,25:15,2 Stop(s),16641
52,Air India,AI-470/512/699,08/12/2021,Nagpur,Mumbai,08:25,22:25,14:00,2 Stop(s),19826
53,IndiGo,6E-297,15/12/2021,Nagpur,Mumbai,10:35,12:05,1:30,Non Stop,4566
54,IndiGo,6E-976,15/12/2021,Nagpur,Mumbai,20:30,22:00,1:30,Non Stop,4566
55,Go First,G8-141,15/12/2021,Nagpur,Mumbai,09:25,10:50,1:25,Non Stop,4567
56,Go First,G8-2607,15/12/2021,Nagpur,Mumbai,21:00,22:40,1:40,Non Stop,4567
57,IndiGo,6E-6413,15/12/2021,Nagpur,Mumbai,05:35,07:05,1:30,Non Stop,4724
58,IndiGo,6E-6207,15/12/2021,Nagpur,Mumbai,15:30,17:00,1:30,Non Stop,4724
59,Go First,G8-601,15/12/2021,Nagpur,Mumbai,10:50,12:25,1:35,Non Stop,4881
60,Air India,AI-628,15/12/2021,Nagpur,Mumbai,07:55,09:20,1:25,Non Stop,5196
61,Air India,AI-630,15/12/2021,Nagpur,Mumbai,21:10,23:05,1:55,Non Stop,5196
62,Go First,G8-2516/323,15/12/2021,Nagpur,Mumbai,07:00,20:25,13:25,1 Stop,7717
63,Go First,G8-2516/346,15/12/2021,Nagpur,Mumbai,07:00,21:55,14:55,1 Stop,7717
64,Go First,G8-2516/336,15/12/2021,Nagpur,Mumbai,07:00,16:35,9:35,1 Stop,7740
